timestamp,date,time,_id,sensor,Temperature,Occupancy,Light Level,Relative Humidity,Noise Level,Pressure
1.47E+12,02/09/2016,12:40:00,079720f3f58a2b6666e4091e83f41c83,H001LW,19.9,Occupied,1.36,53.3,35,1039.873115
1.47E+12,02/09/2016,15:26:40,00ba3374b88c8912bdf4064ca409b545,H004LSW,23.4,Unoccupied,0.01,50.1,35,1011.388242
1.47E+12,02/09/2016,15:26:40,00ba3374b88c8912bdf4064ca45bbbea,H008LNW,24.1,Unoccupied,1.66,55.1,66,1013.636309
1.47E+12,02/09/2016,15:26:40,00ba3374b88c8912bdf4064ca478e693,H019LS,20.6,Unoccupied,1.47,61.6,66,1017.623648
1.47E+12,02/09/2016,15:26:40,00ba3374b88c8912bdf4064ca4bf9c3d,H008LNW,24.1,Unoccupied,1.66,55.1,35,1013.636309
1.47E+12,02/09/2016,15:26:40,00ba3374b88c8912bdf4064ca4ff8b79,H019LN,20,Unoccupied,0.26,61.7,35,1019.200913
1.47E+12,02/09/2016,15:26:40,09d32e95c2e0c04402a76de7b22f0551,H004LSW,23.4,Unoccupied,0.01,50.1,56,1011.388242
1.47E+12,02/09/2016,15:26:40,09d32e95c2e0c04402a76de7b28257d0,H002LNW,21.7,Unoccupied,0.06,25.6,35,1008.538411
1.47E+12,02/09/2016,15:26:40,09d32e95c2e0c04402a76de7b2a25476,H013LE,21.2,Unoccupied,0.02,49.4,35,1008.198231
1.47E+12,02/09/2016,15:26:40,09d32e95c2e0c04402a76de7b2cd8d1a,H004LE,23.2,Unoccupied,0.04,47.3,56,1008.284986
1.47E+12,02/09/2016,18:13:20,09d32e95c2e0c04402a76de7b2f3ecb2,H002LNW,21.7,Unoccupied,0.06,25.6,35,1008.538411
1.47E+12,02/09/2016,23:46:40,034a4a5604ced03aef4d2971a70cfd6a,H002LNW,21.7,Unoccupied,0.06,25.6,35,1008.538411
1.47E+12,02/09/2016,23:46:40,034a4a5604ced03aef4d2971a70d294e,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,02/09/2016,23:46:40,034a4a5604ced03aef4d2971a70d2a34,H004LSW,23.4,Unoccupied,0.01,50.1,56,1011.388242
1.47E+12,02/09/2016,23:46:40,034a4a5604ced03aef4d2971a70d6409,H019LS,21.4,Unoccupied,0.01,64.2,35,1017.336492
1.47E+12,02/09/2016,23:46:40,034a4a5604ced03aef4d2971a72f4e53,H008LNW,24.1,Unoccupied,1.66,55.1,35,1013.636309
1.47E+12,02/09/2016,23:46:40,034a4a5604ced03aef4d2971a790b32a,H004LSW,23.4,Unoccupied,0.01,50.1,56,1011.388242
1.47E+12,02/09/2016,23:46:40,034a4a5604ced03aef4d2971a7a16108,H004LE,23.2,Unoccupied,0.04,47.3,56,1008.284986
1.47E+12,02/09/2016,23:46:40,034a4a5604ced03aef4d2971a7b4839a,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,02/09/2016,23:46:40,034a4a5604ced03aef4d2971a7ec7ec9,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,02/09/2016,23:46:40,034a4a5604ced03aef4d2971a7fcab49,H019LS,21.2,Unoccupied,0.01,64.2,35,1017.35771
1.47E+12,03/09/2016,02:33:20,0219354f04960becbde5d58b163734c7,H013LE,20.6,Unoccupied,0,49.8,35,1039.995972
1.47E+12,03/09/2016,02:33:20,0219354f04960becbde5d58b16377163,H004LSW,23.4,Unoccupied,0.01,50.1,56,1011.388242
1.47E+12,03/09/2016,02:33:20,0219354f04960becbde5d58b164808e2,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,03/09/2016,02:33:20,0219354f04960becbde5d58b1658568f,H019LS,21.1,Unoccupied,0.01,64.2,35,1017.368364
1.47E+12,03/09/2016,02:33:20,0219354f04960becbde5d58b16696ea0,H008LNW,24.1,Unoccupied,1.66,55.1,35,1013.636309
1.47E+12,03/09/2016,02:33:20,0219354f04960becbde5d58b1691d0fd,H008LNW,21,Unoccupied,0,51,35,1008.511131
1.47E+12,03/09/2016,02:33:20,0219354f04960becbde5d58b1691d565,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,03/09/2016,02:33:20,0219354f04960becbde5d58b16a4ff4b,H004LSW,23.4,Unoccupied,0.01,50.1,56,1011.388242
1.47E+12,03/09/2016,02:33:20,0219354f04960becbde5d58b16c80976,H002LNW,21.7,Unoccupied,0.06,25.6,35,1008.538411
1.47E+12,03/09/2016,02:33:20,0219354f04960becbde5d58b16c85c35,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,03/09/2016,02:33:20,0219354f04960becbde5d58b16c87c54,H004LE,23.2,Unoccupied,0.04,47.3,35,1008.284986
1.47E+12,03/09/2016,02:33:20,086d48805056a972e5926e4958144b59,H002LNW,21.7,Unoccupied,0.06,25.6,35,1008.538411
1.47E+12,03/09/2016,02:33:20,086d48805056a972e5926e495829f37d,H004LE,23.2,Unoccupied,0.04,47.3,56,1008.284986
1.47E+12,03/09/2016,02:33:20,086d48805056a972e5926e495867461b,H004LE,23.2,Unoccupied,0.04,47.3,56,1008.284986
1.47E+12,03/09/2016,02:33:20,096c64fa0b82a71ec2340f3d381c10f3,H004LSW,23.4,Unoccupied,0.01,50.1,56,1011.388242
1.47E+12,03/09/2016,02:33:20,096c64fa0b82a71ec2340f3d382dbe3e,H004LSW,23.4,Unoccupied,0.01,50.1,35,1011.388242
1.47E+12,03/09/2016,02:33:20,096c64fa0b82a71ec2340f3d38445fa8,H013LE,20.6,Unoccupied,0,49.8,35,1008.856115
1.47E+12,03/09/2016,02:33:20,096c64fa0b82a71ec2340f3d386cf0ed,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,03/09/2016,02:33:20,096c64fa0b82a71ec2340f3d387dce95,H002LNW,21.7,Unoccupied,0.06,25.6,35,1008.538411
1.47E+12,03/09/2016,02:33:20,096c64fa0b82a71ec2340f3d38af3d80,H019LS,21.1,Unoccupied,0.01,64.2,35,1017.368364
